event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type
22281,Mizoram,Aizawl,,"near Vanzao, ~400m from
previous location",23.844165,92.930006,True,,False,2016,year,2016,Rock,Fall
22282,Mizoram,Aizawl,,Near Phullen,23.844444,93.051361,True,,False,,none,,Rock,Slide
22283,Mizoram,Champhai,,7.8 km S of Ngopa,23.84461,93.190277,True,,False,,none,,Rock,Slide
22284,Mizoram,Champhai,,KawlbemVaikhawtlang section,23.846056,93.371971,True,,False,2017,year,2017,Debris,Slide
22285,Mizoram,Mamit,,Sairang road,23.846786,92.655892,True,,False,2015,year,2015,Rock,Fall
22286,Mizoram,Aizawl,,~2 km from Vanzao,23.847224,92.927508,True,,False,2015,year,2015,Debris,Slide
22287,Mizoram,Aizawl,,"~2 km from Vanzao, 2m from
previous slide",23.847246,92.927341,True,,False,2016,year,2016,Debris,Slide
22288,Mizoram,Aizawl,,Phullen,23.848,93.041885,True,,False,,none,,Debris,Slide
22289,Mizoram,Aizawl,,"8 km from Phullen along
PhullenPhuaibuang section",23.848083,93.076691,True,,False,,none,,Soil,Slide
22290,Mizoram,Aizawl,,~19 km from Phuaibuang,23.848917,93.135307,True,,False,,none,,Rock,Slide
22291,Mizoram,Aizawl,,~ 3 km from Vanzao,23.849497,92.928202,True,,False,2016,year,2016,Debris,Flow
22292,Mizoram,Aizawl,,"Phullen village along
PhullenSaitual section",23.85,93.048164,True,,False,,none,,Rock,Slide
22293,Mizoram,Mamit,"Mualthuam- Kawrtethawveng road
section slide 1","Mualthuam- Kawrtethawveng
road section",23.85,92.33,True,,False,2019,year,2019,Debris,Slide
22294,Mizoram,Aizawl,,"3 km from Tuivai river, near
Ainawl",23.85075,93.115608,True,,False,,none,,Rock,Slide
22295,Mizoram,Aizawl,,Siphir-Lungdai section,23.850861,92.743083,True,,False,2016,year,2016,Rock,Slide
22296,Mizoram,Aizawl,,Siphir-Lungdai section,23.851361,92.742222,True,,False,2016,year,2016,Earth,Slide
22297,Mizoram,Champhai,,6.5 km S of Ngopa,23.851723,93.186775,True,,False,,none,,Rock,Slide
22298,Mizoram,Aizawl,,"Near View point on Siphir-
Serkhan road",23.852722,92.743306,True,,False,2016,year,2016,Rock,Fall
22299,Mizoram,Aizawl,,"2 km from Phullen along
PhullenPhuaibuang section",23.852861,93.059998,True,,False,,none,,Rock,Slide
22300,Mizoram,Aizawl,,"23 km from Phuaibuang
towards Tuivai river",23.853333,93.12458,True,,False,,none,,Soil,Slide
22301,Mizoram,Aizawl,,Phullen,23.855028,93.041695,True,,False,,none,,Debris,Slide
22302,Mizoram,Aizawl,,Towards Piggery Farm,23.855092,92.666553,True,,False,2015,year,2015,Debris,Slide
22303,Mizoram,Mamit,,Sairang - Silchar road,23.855535,92.648953,True,,False,2016,year,2016,Earth,Slide
22304,Mizoram,Aizawl,,"~19 km from Khawruhlian
towards Sesawng on NH 150",23.856821,92.833784,True,,False,2016,year,2016,Debris,Flow
22305,Mizoram,Aizawl,,Siphir-Lungdai section,23.856861,92.743028,True,,False,2016,year,2016,Debris,Slide
22306,Mizoram,Aizawl,,Phullen,23.856972,93.046112,True,,False,2015,year,2015,Debris,Subsidence
22307,Mizoram,Mamit,,"Lengpui, NH 54 section",23.857278,92.646222,True,,False,,none,,Debris,Slide
22308,Mizoram,Aizawl,,Khanpui-Khawkawi section,23.859417,92.917333,True,,False,,none,,Debris,Slide
22309,Mizoram,Mamit,"Mualthuam- Kawrtethawveng road
section slide 2","Mualthuam- Kawrtethawveng
road section",23.86,92.35,True,,False,2019,year,2019,Debris,Slide
22310,Mizoram,Mamit,"Mualthuam- Kawrtethawveng road
section slide 3","Mualthuam- Kawrtethawveng
road section",23.86,92.37,True,,False,,none,,Rock,Slide
22311,Mizoram,Aizawl,,"~16 km from Khawruhlian
towards Sesawng on NH 150",23.860102,92.834056,True,,False,2016,year,2016,Debris,Slide
22312,Mizoram,Champhai,,5 km S of Ngopa,23.860167,93.194778,True,,False,,none,,Debris,Slide
22313,Mizoram,Champhai,,3.2 km S of Ngopa,23.860361,93.203804,True,,False,,none,,Debris,Slide
22315,Mizoram,Champhai,,KawlbemVaikhawtlang section,23.861805,93.364944,True,,False,2017,year,2017,Debris,Slide
