event_id,source,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue
325,GSI,Assam,Dima Hasao,"Kepre–Koladisa–Prasadimdik slide
No.2","Kepre–Koladisa–Prasadimdik
road section",25.449056,93.370861,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
326,GSI,Assam,Dima Hasao,"Kepre–Koladisa–Prasadimdik slide
No.9","Kepre–Koladisa–Prasadimdik
road section",25.452278,93.394333,True,,False,,none,,Soil,Slide,,,,,,False,outside_current_dem_coverage
327,GSI,Assam,Dima Hasao,"Kepre–Koladisa–Prasadimdik slide
No.8","Kepre–Koladisa–Prasadimdik
road section",25.453167,93.394667,True,,False,,none,,Soil,Slide,,,,,,False,outside_current_dem_coverage
328,GSI,Assam,Dima Hasao,"Kepre–Koladisa–Prasadimdik slide
No.3","Kepre–Koladisa–Prasadimdik
road section",25.453528,93.371194,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
329,GSI,Assam,Dima Hasao,"Kepre–Koladisa–Prasadimdik slide
No.4","Kepre–Koladisa–Prasadimdik
road section",25.453611,93.371389,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
330,GSI,Assam,Dima Hasao,"Kepre–Koladisa–Prasadimdik slide
No.6","Kepre–Koladisa–Prasadimdik
road section",25.454083,93.375972,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
331,GSI,Assam,Dima Hasao,"Kepre–Koladisa–Prasadimdik slide
No.5","Kepre–Koladisa–Prasadimdik
road section",25.455333,93.374472,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
332,GSI,Assam,Dima Hasao,"Kepre–Koladisa–Prasadimdik slide
No.7","Kepre–Koladisa–Prasadimdik
road section",25.462361,93.384306,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
333,GSI,Assam,Dima Hasao,,"NH 54, near Langting, Dima
Hasao (NC Hills)",25.50669,93.10536,True,,False,2015,year,2015,Debris,Slide,,,,,,False,outside_current_dem_coverage
334,GSI,Assam,Dima Hasao,16 Kilo Slide-II,"Near Limestone Quarry of
Dalmia cement plant",25.513567,92.784825,True,,False,,none,,Debris cum earth,Subsidence,,,,,,False,outside_current_dem_coverage
335,GSI,Assam,Dima Hasao,Dalmia cement plant slide.,"Dalmia cement plant, 16 kilo.",25.51402,92.765435,True,,False,,none,,Debris cum earth,Slide,,,,,,False,outside_current_dem_coverage
336,GSI,Assam,Dima Hasao,Lumsajor (Kopili Power house road),Kopili road,25.569,92.71653,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
337,GSI,Assam,Dima Hasao,S of Namghar (NEEPCO colony),Kopili road,25.57994,92.72822,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
338,GSI,Assam,Dima Hasao,,"NH 54, about 1.5 km West of
Purana Dibolong",25.61092,93.09178,True,,False,2015,year,2015,Debris,Slide,,,,,,False,outside_current_dem_coverage
339,GSI,Assam,Dima Hasao,,"NH 54, 3 km North of Hatikhali",25.64897,93.12083,True,,False,2015,year,2015,Debris,Slide,,,,,,False,outside_current_dem_coverage
340,GSI,Assam,Dima Hasao,,"NH 54, about 2.5 km SEof
Langlao Disa (NC Hills)",25.65167,93.12083,True,,False,2014,year,2014,Earth,Slide,,,,,,False,outside_current_dem_coverage
341,GSI,Assam,Dima Hasao,,"NH 54, about 2km SE of Langlao
Disa (NC Hills)",25.65792,93.11811,True,,False,2014,year,2014,Debris,Slide,,,,,,False,outside_current_dem_coverage
342,GSI,Assam,Dima Hasao,,"NH 54, about 2km SE of Langlao
Disa (NC Hills)",25.65839,93.11808,True,,False,2015,year,2015,Debris,Slide,,,,,,False,outside_current_dem_coverage
343,GSI,Assam,Dima Hasao,,"NH 54, about 1 km East of
Langlao Disa",25.67153,93.11522,True,,False,2015,year,2015,Debris,Topple,,,,,,False,outside_current_dem_coverage
344,GSI,Assam,Dima Hasao,,"Manderdisa Daolapur 3, Dima
Hasao",25.72486,93.131083,True,,False,2015,year,2015,Debris,Slide,,,,,,False,outside_current_dem_coverage
345,GSI,Assam,Dima Hasao,,"Manderdisa Daolapur 3, Dima
Hasao",25.72561,93.13075,True,,False,2015,year,2015,Debris,Slide,,,,,,False,outside_current_dem_coverage
346,GSI,Assam,West Karbi Anglong,Umpu,"SH-18, S of Umpu",25.75933,92.52258,True,,False,,none,,Earth cum Rock,Slide,,,,,,False,outside_current_dem_coverage
347,GSI,Assam,Kamrup (Rural),Noth Lumpi slide,Boko-Lumpi road,25.79,91.24,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
348,GSI,Assam,West Karbi Anglong,NW of Umrasi,"SH-18, Hamren-Umpu road",25.79939,92.52653,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
349,GSI,Assam,West Karbi Anglong,Hamren-Longpai road slide,"~1 Km North of Longpai,
Longpai road section",25.809417,92.474833,True,,False,2016,year,2016,Rock cum Debris,Slide,,,,,,False,outside_current_dem_coverage
350,GSI,Assam,Karbi Anglong,Dhansiri,DiphuDhansiri road,25.81044,93.58616,True,,False,,none,,Soil,Slide,,,,,,False,outside_current_dem_coverage
351,GSI,Assam,West Karbi Anglong,N of Rongkhong-4,"SH-18, Hamren-Umpu road",25.81175,92.55003,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
352,GSI,Assam,West Karbi Anglong,N of Rongkhong-5,"SH-18, Hamren-Umpu road",25.812,92.55069,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
353,GSI,Assam,West Karbi Anglong,N of Rongkhong-3,"SH-18, Hamren-Umpu road",25.81236,92.55156,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
354,GSI,Assam,West Karbi Anglong,N of Rongkhong-2,"SH-18, Hamren-Umpu road",25.81428,92.55422,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
355,GSI,Assam,West Karbi Anglong,N of Rongkhong-1,"SH-18, Hamren-Umpu road",25.81542,92.5535,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
356,GSI,Assam,West Karbi Anglong,Derajuri-2,"Pangyatiso-Derajuri-Kolonga
road",25.81678,92.71878,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
357,GSI,Assam,West Karbi Anglong,Derajuri-1,"Pangyatiso-Derajuri-Kolonga
road",25.81689,92.71744,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
358,GSI,Assam,Nagaon,,"NH 54, About 2km SW of
Arlongapai, Nagaon",25.81756,93.10886,True,,False,2015,year,2015,Rock,Fall,,,,,,False,outside_current_dem_coverage
359,GSI,Assam,West Karbi Anglong,N of Tarang,"Pangyatiso-Derajuri-Kolonga
road",25.81806,92.74872,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
360,GSI,Assam,West Karbi Anglong,S of Ambinong-4,"SH-18, Hamren-Umpu road",25.82108,92.544,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
361,GSI,Assam,West Karbi Anglong,S of Ambinong-3,"SH-18, Hamren-Umpu road",25.822458,92.546381,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
362,GSI,Assam,Karbi Anglong,Taralangso,DiphuLumding road,25.82522,93.4243,True,,False,,none,,Soil cum debris,Slide,,,,,,False,outside_current_dem_coverage
363,GSI,Assam,West Karbi Anglong,S of Ambinong-2,"SH-18, Hamren-Umpu road",25.82528,92.54775,True,,False,,none,,Rock cum Debris,Slide,,,,,,False,outside_current_dem_coverage
364,GSI,Assam,West Karbi Anglong,S of Ambinong-1,"SH-18, Hamren-Umpu road",25.82769,92.55658,True,,False,,none,,Earth cum Rock,Slide,,,,,,False,outside_current_dem_coverage
365,GSI,Assam,Karbi Anglong,Panbari,DiphuDhansiri road,25.83128,93.45257,True,,False,,none,,Soil cum debris,Slide,,,,,,False,outside_current_dem_coverage
366,GSI,Assam,Kamrup (Rural),Ukiam slide,Ukiam,25.84,91.35,True,,False,2018,year,2018,Debris,Slide,,,,,,False,outside_current_dem_coverage
367,GSI,Assam,Karbi Anglong,Dharamnala1,Diphu,25.84152,93.45138,True,,False,,none,,Soil,Slide,,,,,,False,outside_current_dem_coverage
368,GSI,Assam,Karbi Anglong,Dharamnala2,Diphu,25.84267,93.45244,True,,False,,none,,Soil cum debris,Slide,,,,,,False,outside_current_dem_coverage
369,GSI,Assam,Karbi Anglong,Matipung,Diphu,25.84444,93.45331,True,,False,,none,,Soil cum debris,Slide,,,,,,False,outside_current_dem_coverage
370,GSI,Assam,West Karbi Anglong,Amlong,Hamren-Amlong road,25.84494,92.61514,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
371,GSI,Assam,Karbi Anglong,Hafjan Kidingpur5,DhansiriChiru Timung road,25.84512,93.56682,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
372,GSI,Assam,Karbi Anglong,Nowgong2,"Along Northeast Frontiers
Railway line",25.84516,93.68408,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
373,GSI,Assam,Karbi Anglong,Nowgong1,DiphuDimapur road,25.84541,93.68312,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
374,GSI,Assam,Karbi Anglong,Nowgong3,"Along Northeast Frontiers
Railway line",25.8465,93.687,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
375,GSI,Assam,Karbi Anglong,NowgongTilabasti,Near Railway line,25.84782,93.70174,True,,False,,none,,Rock cum debris,Slide,,,,,,False,outside_current_dem_coverage
376,GSI,Assam,West Karbi Anglong,Pangyatiso,"Mikading-Pangyatiso-Ranghidi
road",25.84875,92.68328,True,,False,,none,,Rock cum Debris,Slide,,,,,,False,outside_current_dem_coverage
377,GSI,Assam,West Karbi Anglong,NE of Pangyatiso-3,"Mikading-Pangyatiso-Ranghidi
road",25.84967,92.69042,True,,False,,none,,Earth cum Rock,Slide,,,,,,False,outside_current_dem_coverage
378,GSI,Assam,West Karbi Anglong,NE of Pangyatiso-2,"Mikading-Pangyatiso-Ranghidi
road",25.84992,92.69072,True,,False,,none,,Earth cum Rock,Slide,,,,,,False,outside_current_dem_coverage
379,GSI,Assam,Karbi Anglong,Hafjan Kidingpur4,DhansiriChiru Timung road,25.85072,93.56682,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
