,precision,recall,f1,roc_auc,pr_auc
xgboost,0.2589312348788767,0.8578174004708575,0.3951330595499821,0.86354134199159,0.32007062755306415
random_forest,0.3003976052718854,0.34397543855384927,0.31428557611061236,0.850577255945953,0.2890284777470328
logistic_regression,0.227975563618564,0.7970547064573159,0.3520315645400054,0.8223575453693976,0.2756496781878278
