event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue,landslide
NEG_00001,,,,,27.79662535991214,88.18334685508557,True,,False,2025-06-01,day,,,,5946.0,25.212341344031998,273.9451862290375,-0.00419746160608103,11.75,True,,0
NEG_00002,,,,,26.59687706076814,88.44581770639606,True,,False,2022-09-28,day,,,,103.0,3.834618738368032,205.01689347810003,-0.002098730803040515,1.625,True,,0
NEG_00003,,,,,27.459237572213638,88.33366241908656,True,,False,2024-09-24,day,,,,2797.0,30.608759707907335,220.5587588105672,-0.055616366280573655,19.0,True,,0
NEG_00004,,,,,25.832534985978423,94.21225920487569,True,,False,2013-08-16,day,,,,1022.0,8.883607409551798,36.57303097851933,0.00419746160608103,4.625,True,,0
NEG_00005,,,,,26.00692937919339,91.02292994238171,True,,False,2024-05-28,day,,,,46.0,4.257493613969942,247.61986494804043,-0.002098730803040515,1.875,True,,0
NEG_00006,,,,,25.366324721583496,94.45605778143488,True,,False,2024-05-28,day,,,,1389.0,6.344559883623541,123.11134196037202,0.007345557810641803,4.25,True,,0
NEG_00007,,,,,26.19959035820896,91.51423839242429,True,,False,2024-09-12,day,,,,50.0,2.6433788272988923,127.8749836510982,0.002098730803040515,1.375,True,,0
NEG_00008,,,,,26.046324426723533,88.60757472547142,True,,False,2018-06-14,day,,,,57.0,1.3917519488540016,270.0,-0.00419746160608103,1.0,True,,0
NEG_00009,,,,,26.06493077398333,88.94901022768036,True,,False,2022-04-04,day,,,,50.0,3.293767330766734,219.28940686250036,0.003148096204560773,1.5,True,,0
NEG_00010,,,,,26.808483014046494,91.30455949522037,True,,False,2023-08-03,day,,,,1069.0,20.564156131867136,122.66091272167381,-0.009444288613682319,9.375,True,,0
NEG_00011,,,,,26.684284202352856,91.44013586943231,True,,False,2010-08-14,day,,,,88.0,1.9124458385919303,165.96375653207355,-0.00419746160608103,1.25,True,,0
NEG_00012,,,,,25.49517557036408,94.03425918459331,True,,False,2013-08-06,day,,,,2209.0,29.90591874717524,57.65255650055797,0.022036673431925412,15.625,True,,0
NEG_00013,,,,,26.25871297603935,88.66256742943298,True,,False,2025-05-31,day,,,,66.0,1.672531498381725,146.30993247402023,-0.0010493654015202576,0.625,True,,0
NEG_00014,,,,,26.52007359562814,91.54672325442088,True,,False,2016-07-28,day,,,,58.0,1.3525545544152653,120.96375653207352,0.0010493654015202576,0.5,True,,0
NEG_00015,,,,,27.842379853699054,88.44974017618459,True,,False,2008-08-10,day,,,,4553.0,23.526564742258632,80.36246188706906,-0.00839492321216206,10.25,True,,0
NEG_00016,,,,,26.926777382145406,91.7273351269664,True,,False,2014-07-08,day,,,,1157.0,32.77821774401872,140.1021652523582,0.00419746160608103,14.5,True,,0
NEG_00017,,,,,26.3252818114107,91.3886463667144,True,,False,2025-05-30,day,,,,45.0,0.7336218900839592,108.43494882292201,-0.0010493654015202576,0.25,True,,0
NEG_00018,,,,,27.828828825126696,88.35671353595102,True,,False,2024-10-07,day,,,,5039.0,35.44555480937879,154.74683660542613,-0.002098730803040515,17.875,True,,0
NEG_00019,,,,,27.16517395765719,88.01550186129863,True,,False,2024-05-28,day,,,,3386.0,12.102034569615833,100.88552705465874,0.00839492321216206,6.0,True,,0
NEG_00020,,,,,27.815549056629408,88.70691480422092,True,,False,2024-05-28,day,,,,3694.0,19.492869033855108,215.69005982501398,-0.002098730803040515,8.375,True,,0
NEG_00021,,,,,26.60598940810734,88.92641929542405,True,,False,2025-05-31,day,,,,85.0,1.9124458385919303,345.9637565320735,0.0010493654015202576,0.875,True,,0
NEG_00022,,,,,26.915074942120324,88.85013581072808,True,,False,2024-08-13,day,,,,233.0,1.037441336361181,206.56505117707798,0.002098730803040515,0.5,True,,0
NEG_00023,,,,,26.09529773041166,91.37078236837944,True,,False,2015-06-19,day,,,,49.0,1.766332255932799,113.19859051364818,-0.0010493654015202576,1.0,True,,0
