event_id,source,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type
GLC_4695,GLC,Manipur,,"Tusom, Manipur",,25.426,94.6024,True,,False,2013-10-13,day,downpour,,mudslide
GLC_4706,GLC,Nagaland,,"Zunheboto, Nagaland",,26.0093,94.5238,True,,False,2010-07-06,day,monsoon,,mudslide
GLC_4716,GLC,Arunachal Pradesh,,Arunachal Pradesh,,27.1614,93.7525,True,,False,2013-09-02,day,downpour,,landslide
GLC_4721,GLC,Assam,,Maligaon,,26.1868,91.6739,True,,False,2015-09-01,day,rain,,rock_fall
GLC_4723,GLC,Nagaland,,"Lasumi village in Phek district, Kohima",,25.51614662,94.2341227,True,,False,2011-06-21,day,rain,,landslide
GLC_4832,GLC,Assam,,NH 37,,26.5836,93.0038,True,,False,2011-07-24,day,downpour,,landslide
GLC_4852,GLC,Manipur,,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",,25.1333,93.9667,True,,False,2007-08-31,day,rain,,landslide
GLC_4855,GLC,Meghalaya,,National Highway No 44 at Sonarpur in Meghalaya,,25.5576,91.8506,True,,False,2007-08-26,day,rain,,complex
GLC_4868,GLC,Manipur,,Naga Gate along the Ukhrul-Imphal route,,25.0634,94.3415,True,,False,2015-07-31,day,continuous_rain,,mudslide
GLC_4878,GLC,Manipur,,"Tharon(?) and Langol Tarung villages, Thangmeiband constituency, Imphal, Manipur",,24.837,93.9128,True,,False,2010-10-08,day,downpour,,landslide
GLC_4897,GLC,Sikkim,,Bardang near Singtam,,27.1499,88.38,True,,False,2007-07-16,day,rain,,mudslide
GLC_4909,GLC,Sikkim,,"4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.",,27.1954,88.6115,True,,False,2009-09-17,day,rain,,landslide
GLC_4933,GLC,Arunachal Pradesh,,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)",,27.1032,93.6884,True,,False,2011-07-19,day,downpour,,landslide
GLC_4966,GLC,Meghalaya,,"Borsorsa(?), West Khasi Hills, Meghalaya",,25.4916,91.2698,True,,False,2010-06-28,day,downpour,,landslide
GLC_5006,GLC,Assam,,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",,27.163,94.0,True,,False,2008-08-14,day,rain,,landslide
GLC_5033,GLC,Assam,,"Bhangagarh, Assam",,26.1619,91.7697,True,,False,2014-06-27,day,rain,,landslide
GLC_5045,GLC,Manipur,,"Lower Shajouba village near Tadubi along NH 39, Manipur ",,25.0604,93.9877,True,,False,2007-09-08,day,rain,,landslide
GLC_5048,GLC,Assam,,"NH44, Malidhor area,  Baleswar",,25.0951,92.3567,True,,False,2012-06-13,day,downpour,,landslide
GLC_5063,GLC,Arunachal Pradesh,,Mebua (8 km from Seppa),,27.2743,92.9064,True,,False,2011-07-16,day,downpour,,landslide
GLC_5107,GLC,Assam,,Hatsingimari,,25.7238,89.9032,True,,False,2014-09-23,day,continuous_rain,,landslide
GLC_5123,GLC,Assam,,"A Cachar District village, near village of Srinager, Assam",,24.9849,92.8411,True,,False,2008-05-20,day,mining,,mudslide
GLC_5168,GLC,Manipur,,Willong-Yangkhullen stretch,,25.5007,93.9854,True,,False,2015-07-22,day,continuous_rain,,landslide
GLC_5224,GLC,Mizoram,,"Taithu village, Churanchandpur district, Mizoram, Manipur",,24.3069,93.125,True,,False,2010-09-16,day,downpour,,landslide
GLC_5229,GLC,Nagaland,,between Phesama and Kuima in Nagaland,,25.6263,94.1057,True,,False,2015-08-20,day,continuous_rain,,landslide
GLC_5271,GLC,Arunachal Pradesh,,Arunachal Pradesh,,28.1737,94.7596,True,,False,2015-08-18,day,unknown,,landslide
GLC_5274,GLC,Arunachal Pradesh,,Arunachal Pradesh/Itanagar,,27.0869,93.6086,True,,False,2014-08-17,day,downpour,,landslide
GLC_5319,GLC,Mizoram,,Phullen’s main road,,23.8447,93.0514,True,,False,2015-08-26,day,continuous_rain,,mudslide
GLC_5369,GLC,Meghalaya,,Mawbah under Mawprem area,,25.5772,91.8666,True,,False,2014-09-23,day,continuous_rain,,landslide
GLC_5380,GLC,Meghalaya,,"NH44, Kuliang",,25.5498,92.0757,True,,False,2012-06-13,day,downpour,,landslide
GLC_5391,GLC,Manipur,,"Imphal-Jiribam section of NH-37 , Manipur",,24.8142,93.5444,True,,False,2012-06-10,day,downpour,,landslide
GLC_5393,GLC,Sikkim,,Tamabong Village In Sikkim State,,27.3425,88.2426,True,,False,2013-09-01,day,downpour,,landslide
GLC_5426,GLC,Assam,,"road between Halfong and Redzol(?) or Silchar, Assam",,25.0477,92.801,True,,False,2010-07-25,day,downpour,,landslide
GLC_5435,GLC,Nagaland,,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagaland",,25.70223725,94.04619681,True,,False,2010-08-13,day,downpour,,landslide
GLC_5478,GLC,Nagaland,,"lower Majakong Ward, Mokokchung, Nagaland, India",,26.3185,94.5247,True,,False,2016-06-14,day,continuous_rain,,landslide
GLC_5496,GLC,Assam,,Bamunimaidam,,26.1844,91.7896,True,,False,2014-06-26,day,continuous_rain,,landslide
GLC_5528,GLC,Manipur,,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,,24.2451,94.0691,True,,False,2007-09-10,day,rain,,landslide
GLC_5557,GLC,Nagaland,,Phesama village,,25.6237,94.1136,True,,False,2015-08-12,day,continuous_rain,,mudslide
GLC_5597,GLC,Sikkim,,"Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk",,27.1675,88.3651,True,,False,2012-09-16,day,downpour,,landslide
GLC_5671,GLC,Manipur,,between Bongyang and Lokchao along the Imphal-Moreh highway,,24.4072,94.0644,True,,False,2015-08-01,day,continuous_rain,,landslide
GLC_5686,GLC,Mizoram,,"Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur",,23.7527,92.694,True,,False,2010-09-16,day,downpour,,landslide
GLC_5709,GLC,Nagaland,,"Akuk village, Wokha District, Nagaland",,26.138,94.25,True,,False,2008-08-19,day,downpour,,mudslide
GLC_5739,GLC,Manipur,,near S Lamphei Lamkhai and Sehlon village,,23.9939,94.0573,True,,False,2015-08-01,day,continuous_rain,,landslide
GLC_5740,GLC,Assam,,Amingaon,,26.49349035,91.72137514,True,,False,2015-09-01,day,rain,,landslide
GLC_5797,GLC,Nagaland,,"Kohima, Nagaland",,25.67,94.1066,True,,False,2008-08-29,day,downpour,,complex
GLC_5834,GLC,Manipur,,Dimapur-Imphal highway (NH 39) near Manipur,,24.9356,93.8443,True,,False,2010-07-31,day,rain,,landslide
GLC_5905,GLC,Manipur,,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",,24.7543,93.5039,True,,False,2010-06-07,day,rain,,landslide
GLC_5950,GLC,Mizoram,,"Muanna locality, Mizoram",,23.7131,92.7362,True,,False,2015-06-19,day,rain,,landslide
GLC_5968,GLC,Nagaland,,"Tobu, Nagaland",,26.3897,94.9439,True,,False,2013-08-16,day,rain,,landslide
GLC_6011,GLC,Meghalaya,,Tongseng,,25.1416,92.3807,True,,False,2015-08-19,day,rain,,landslide
GLC_6035,GLC,Mizoram,,"Chhinga Veng, Aizawl",,23.73478778,92.72124394,True,,False,2009-10-05,day,downpour,,landslide
GLC_6038,GLC,Assam,,"Piyali Phukan Nagar, Guwahati, India",,26.1961,91.7825,True,,False,2016-06-22,day,downpour,,mudslide
